"Category_TX","Subject_TX","Class_TX","Type_TX","Name_TX","Version_DC","Alias_TX","Desc_TX","Usage_TX","Comment_TX"
"SuperLuminate","Application","System","Prod","SuperLuminate",1,"SuperLuminate Application","The SuperLuminate application is the complete set of code, files, and database definitions that make up the SuperLuminate data dictionary application.","One purpose of the data dictionary is to provide consistency and understanding of common data across applications. Preplanning is a must to accomplish this at an enterprise level. A process must be clearly defined and key stakeholders identified. The process requires collecting information or metadata (data about the data) on each data element found to be common across domains. It is important to define up front what needs to be done before starting the dictionary. This includes defining what metadata will be collected on each element as well as what will not be collected. Examples of metadata include name of element, definition, application in which the data element is found, locator key, ownership, entity relationships, date first entered system, date element terminated from system, and system of origin.","Information systems are only as good as their data. Without a mutually agreed-upon set of data elements with clearly defined names and definitions, the validity and reliability of the data contained in a system are suspect at best and must be discounted at worst. The data dictionary and its relationship with the metadata registry are the foundation of an information system and the central building block that supports communication across business processes.

Standardizing data enhances interoperability across systems. It also improves data validity and reliability within, across, and outside the enterprise. Communication is improved in clinical treatment, research, and business processes through a common understanding of terms. Standardization provides developers with a common road map to promote consistency across applications.

Lack of a sound data dictionary can cause problems within and across organizations. Organizations may call the same data element by different names or they may call different data elements by the same name across an enterprise. As a result, an organization may not collect all of the information it needs or it may be unable to combine or map data across systems because the definitions are not identical. A worse possibility is that an organization may combine data elements it believes to be equivalent and draws incorrect inferences from the invalid data.
"
"SuperLuminate","Application","Database","Prod","SL_Prod",1,"SuperLuminate Database","The SuperLuminate database is the set of tables used to maintain all of the data dictionary definitions along with the control data to maintain SuperLuminate.","A metadata registry is an authoritative source of reference information about the representation, meaning, and format of data collected and managed by an enterprise. It does not contain the data itself but the information that is necessary to clearly describe, inventory, analyze, and classify data.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Category",1,"SL_Category","The category table is used to build the classification hierarchy (topology) maintained by the administrator.","The category table contains all valid categories.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Subject",1,"SL_Subject","The subject  table is used to build the classification hierarchy (topology) maintained by the administrator.","The subject table contains all valid subjects tied to categories.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,"SL_Class","The class  table is used to build the classification hierarchy (topology) maintained by the administrator.","The class table contains all valid classes tied to categories and subjects.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Type",1,"SL_Type","The type  table is used to build the classification hierarchy (topology) maintained by the administrator.","The type table contains all valid types tied to categories, subjects and classes.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Object",1,"SL_Object","This table is used to store and maintain user defined metadata at the record (object) level. ","The data in this table is maintained by the user.","This is the primary table for the definition of all user maintained metadata in the SuperLuminate database."
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Prop",1,"SL_Prop","The property table contains the definition for properties used to extend the attributes available for a class of objects.","The property table data is maintained by the administrator.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Attr",1,"SL_Attr","The attribute table contains the values for extended (additional) fields for any object record.","The attribute table contains the definitions of properties maintained by the users of the system.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Rel",1,"SL_Rel","The relationship table is used to store and maintain user defined metadata to define links between records (Objects).","The relationship table contains links between object maintained by the users of the system. These links know as relationships enable the navigation between objects.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Assoc",1,"SL_Assoc","The association table contains the definition of the various metaschemas that along with topologies define the metadata structures.","The association table data is maintained by the administrator.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_User",1,"SL_User","The user table contains a record for each system user including the administrator.","The user table data is maintained by the administrator. A user can change their own information in the user table including password.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Config",1,"SL_Config","The configuration table contains control information that is used to vary the look and feel of the SuperLuminate data dictionary application.","The configuration table data is maintained by the administrator.","No comment"
"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Event",1,"SL_Event","The event table contains one record for each event that takes place within SuperLuminate.","The default event setting is to record all login and logout events and to record the user id and password used for unsuccessful login attempts.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Category_ID",1,"Category_ID","Foreign Key (FK) to the category table.","Used to link to the category table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Category_TX",1,"Category_TX","This field contains the name of the category.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Subject_ID",1,"Subject_ID","Foreign Key (FK) to the subject table.","Used to link to the subject table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Class_ID",1,"Class_ID","Primary Key (PK) of the class table.","Used to uniquely identify a class record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Class_TX",1,"Class_TX","This field contains the name of the class.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Created_DS",1,"Created_DS","The date and time that this record was created.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Assoc.ROWID",1,"ROWID","Primary Key (PK) of the association table. This field contains an internal database key","Integer number that is automatically incremented for each inserted record.","No comment"
