"P_SL_Object_FK","P_Category_TX","P_Subject_TX","P_Class_TX","P_Type_TX","P_Name_TX","P_Version_DC","C_SL_Object_FK","C_Category_TX","C_Subject_TX","C_Class_TX","C_Type_TX","C_Name_TX","C_Version_DC"
0,"SuperLuminate","Application","System","Prod","SuperLuminate",1,0,"SuperLuminate","Application","Database","Prod","SL_Prod",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Assoc",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Attr",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Config",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Event",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Object",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Prop",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Rel",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_User",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Category",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Subject",1
0,"SuperLuminate","Application","Database","Prod","SL_Prod",1,0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Type",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Created_DS",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Changed_DS",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Creator_ID",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Changer_ID",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Status_CD",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Category_ID",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Category_TX",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Subject_ID",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Subject_TX",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Class_ID",1
0,"SuperLuminate","Application","Table","Prod","SL_Prod.SL_Class",1,0,"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Class.Class_TX",1
